"","rt_between","degree"
"corrinneheading @CraigThomler",0,2
"Chrisbus888",0,2
"wentale",0,2
"bcassociationau",0,1
"ross_gayler",0,1
"Like_Rob",0,1
"normnz",0,4
"MoiraDes",0,1
"viv_allen",0,1
"leigit_",0,2
"nabiac85",0,1
"MelBioInf",0,1
"ExaminerOnline",0,1
"xurizaemon",0,2
"paulinesu",0,1
"eey0re",0,2
"Griffith_Uni",0,1
"GriffithLibrary @GovHackAU",0,5
"SA_EPA",210,5
"Stretton_Centre",0,1
"camybobany",0,1
"CodeforAus",0,2
"A_Comito",0,3
"govhack_sa @GovHackAU",0,2
"donnaanthes",0,1
"SecurityNews6",0,1
"CharEKing",0,1
"jono_ball",0,1
"HackOutNinja",0,1
"PatriciaKimtia",0,1
"CityOfCasey",0,4
"lara_silbert",0,1
"RichardSBlewett",0,1
"mshoebri",0,1
"SLBaldry",0,1
"MyOtherK",0,1
"GovHackNZ @JulianWoodhouse @teh_aimee @pm4gis",0,2
"verbatorium",0,1
"TroveAustralia",0,12
"Info_Aus",0,1
"leifhanlen",0,2
"GovHackAU @Data61news",0,3
"AshishQLDAU",0,2
"alia_p",0,1
"JordanTzvetkov",0,1
"glam_peak",0,1
"Digital_Casey",0,4
"Ulupna67",0,1
"JulannaHennessy",0,1
"MichelleKothe",0,1
"ALIAnls",0,1
"kateauty",0,2
"JaneDorrian",0,1
"IndustryGovAu",0,4
"IndiBlu",0,1
"simonleobrown",0,1
"essjayeff",0,1
"EnvComm_ACT",0,2
"RHoKSydney",0,1
"stuart_raewyn",0,1
"WhanganuiCCI",0,1
"TimMcGee",0,1
"micblackau",0,1
"KamaCathy",0,1
"rosariodpsc",0,2
"IAP2A",0,2
"Taphophile_au",0,1
"abccanberra",0,1
"KateHack1",0,1
"timClicks",0,1
"NSLA",0,1
"wikiclubwest",0,1
"leowmjw",0,1
"MMarahatta",0,1
"Jericho106",0,1
"DataCentreUG",0,1
"walkerdenc",0,1
"TheSDDC",0,1
"xjamesx1999",0,1
"Serious_Riley",0,1
"Asher_Wolf",0,1
"PauletteP",0,1
"nzgizmoguy",0,2
"nz_open",0,1
"lightweight",0,1
"aileengemma",0,2
"lisabennetto",0,2
"sensingtasmania",0,2
"jesse_bryant",0,1
"finbaromallon",0,1
"Transport_CBR",0,1
"follysantidote",0,1
"MelissaBRyan01",0,1
"minus34",422,4
"pitchregional",0,1
"GovHackAU @Ganjm001 @pitchregional @govhack_sa",0,2
"RDAWheatbelt",0,1
"THELINK_ECU",0,1
"christopherhire",0,1
"partnershipper",0,1
"CC_Aotearoa",0,2
"GeoscienceAus .@GeoAusData",0,1
"fiqus",0,1
"Phil_Wheeler",1899,11
"TravCharlton",0,1
"robbielove79",0,1
"KristyKokegei",0,7
"jeanettepope1",0,1
"MarianneNorrman",0,1
"BenMitraKahn @GovHackAU @IPAustralia",0,3
"ixdatuq",0,3
"spokenly_",0,1
"EchoNZ2017L",0,1
"canfrontend",0,2
"kristinalford",0,1
"ashleyjdalton",0,1
"CatherineM__",0,1
